name,status,free_spaces
Parking Gare Wodli,Ouvert,48
Parking Zénith,Fermé,3173
Parking Centre Opéra Broglie,Ouvert,139
Parking Baggersee,Ouvert,414
Parking Bateliers,frequentation temps reel indisponible,0
Parking Austerlitz,Ouvert,186
Parking Gutenberg,Ouvert,102
Parking Kleber Homme de fer,Ouvert,176
Parking Halles P1 Marais vert,Ouvert,483
Parking P2 Sebastopol,Ouvert,255
Parking Robertsau Boecklin,Ouvert,64
Parking Krimmeri Stade de la Meinau,Ouvert,190
Parking Centre historique Petite France,Ouvert,437
Parking Rives de l'Aar,Ouvert,377
Parking Saint Nicolas,frequentation temps reel indisponible,0
Parking Tanneurs,Ouvert,80
Parking Ducs d'Alsace,Ouvert,524
Parking Elsau,Ouvert,166
Parking Rotonde,Ouvert,113
Parking Gare courte durée,Ouvert,93
Parking Sainte Aurélie Gare,Ouvert,150
Parking P3 Wilson,Ouvert,921
Parking Hoenheim gare,Ouvert,245
Parking Poteries,Ouvert,74
Parking Espace européen de l'entreprise,Ouvert,163
Parking Rivetoile,Ouvert,860
P1 Esplanade - Centre commercial,Ouvert,65
Parking Hôpital Hautepierre,Ouvert,512
Parking Coubertin,frequentation temps reel indisponible,0
Parking Parc des romains,Ouvert,279
